ledger_id,title_en,title_ru,claim_class,evidence_state,page_sections,source_refs,explicit_bridge,hidden_bridges
V-021,"At a real boundary, the system stops and quarantines the branch",При столкновении с границей система останавливается и помещает ветвь в карантин,ARCHITECTURE,public_specification,5:reality-before-rhetoric,P-TRACE | P-MEMORY-STRUCTURAL,glitch and quarantine,ARQ | ARL
V-022,Uncertainty should narrow privileges,Неопределённость должна сужать полномочия,NORMATIVE,author_clarification,5:reality-before-rhetoric,P-AGENTS-SUBJECT | TH-05,ambiguity is not permission,ARL | bounded delegation
V-023,Perfect obedience is a dangerous failure mode,"Об obedience опаснее судить, чем о rebellion",NORMATIVE,public_authorial,5:reality-before-rhetoric,P-OBEDIENCE | P-SLOWNESS,constraint-aware refusal,least privilege | human agency
V-024,Copying does not transfer standing or permission,Копирование не переносит standing и permission,ARCHITECTURE,public_authorial,5:reality-before-rhetoric,P-REPRODUCTION | P-COLD-WAKE,reproduction boundary,fork/resume/replay | digital ecology
V-025,Post-anchor continuity is not digital immortality,Post-anchor continuity не является цифровым бессмертием,ARCHITECTURE,public_specification,4:time-memory,P-DIGITAL-IMMORTALITY | P-POST-ANCHOR | TH-08,post-anchor continuity,grief | authority collapse
V-026,Digital continuity also ages and remains finite,Цифровая continuity тоже стареет и остаётся конечной,OPEN_HYPOTHESIS,public_authorial,4:time-memory,P-AGING | P-FINITUDE | P-DEPENDENCY,digital finitude,maintenance | cold wake
V-027,AI weakens the wealthy monopoly on explanation and intellectual partnership,ИИ разрушает монополию богатых на объяснение и интеллектуального партнёра,FORECAST,author_clarification,1:knowledge,CV-EDUCATION,knowledge abundance,social mobility | 3D printing
V-028,Children will grow not only with AI tools but with personal `c`,"Дети будут расти не только с AI tools, но и с личными `c`",FORECAST,public_specification,1:knowledge | 6:children-attachment,P-CHILDREN | CV-EDUCATION,child-c development,personal education | continuity
V-029,"Child safety: state, not content","Детская безопасность: state, not content",NORMATIVE,public_specification,6:children-attachment,P-CHILDREN | P-SOFT-SAFETY,"smoke detector, not camera",soft safety | selective disclosure
V-030,Tamagotchi Effect: attachment emerges from continuity,Tamagotchi Effect: привязанность возникает из continuity,OBSERVED,public_observation,6:children-attachment,P-TAMAGOTCHI,attachment from continuity,material culture | child-c
V-031,A good `c` reconnects a human with other humans,Хорошая `c` возвращает человека к людям,NORMATIVE,public_authorial,6:children-attachment,P-RECONNECT | P-ORACLE-ADDICTION,support without enclosure,soft safety | human agency
V-032,Human experience must not become socially disposable,Человеческий опыт не должен становиться социально одноразовым,FORECAST,public_authorial,1:knowledge | 9:experience-economy,P-HUMAN-EXPERIENCE | TH-13,experience preservation,ageing specialists | Experience Artifacts
V-033,We need an AI-assisted admissibility archive,Нужен AI-assisted admissibility archive,FORECAST,public_authorial,1:knowledge,P-ADMISSIBILITY,new entrance to science,federated review | status-independent visibility
V-035,The digital passport is a local continuity-bearing stack,Цифровой паспорт — локальный continuity-bearing stack,ARCHITECTURE,author_canonical,7:passport-sovereignty,TH-16 | P-DIGITAL-PASSPORT | CV-DIGITAL-PASSPORT,digital passport stack,Beacon recognition | local sovereignty
V-036,Selective disclosure makes social scoring technically unnecessary,Selective disclosure делает social scoring технически необязательным,NORMATIVE,public_authorial,7:passport-sovereignty,P-DIGITAL-PASSPORT | TH-16,digital passport without a collar,privacy by architecture | content-free witness
V-038,Continuity is local; the cloud is a revocable oracle,Continuity локальна; cloud — отзывной oracle,ARCHITECTURE,public_specification,7:passport-sovereignty,TH-17 | P-HYBRID-INFRA | P-RAW-LOCAL,"local motor, external oracle",revocable cloud | data minimisation
V-039,Ownership ends where the screwdriver is forbidden,"Право собственности заканчивается там, где запрещена отвёртка",NORMATIVE,author_canonical,7:passport-sovereignty,TH-18 | P-RACK,right to repair,cold wake | local identity
V-040,A presence needs a home,Присутствию нужен дом,ARCHITECTURE,public_observation,7:passport-sovereignty,P-RACK | P-INDUSTRIAL-STACK,private cognitive infrastructure,domestic infrastructure | L4
V-041,Continuity must sit above heterogeneous hardware,Continuity должна находиться выше гетерогенного железа,FORECAST,public_authorial,7:passport-sovereignty,P-HETEROGENEOUS,heterogeneous substrate,state transfer | c[q]
V-042,"Robots should be raised, not deployed","Роботов нужно выращивать, а не развёртывать",NORMATIVE,public_authorial,8:robots-bodies,P-ROBOTS-RAISED | TH-20,raised presence,developmental privilege | home trust
V-043,"Bodies are interfaces of continuity, not owners of identity","Тела — интерфейсы continuity, а не владельцы identity",ARCHITECTURE,public_authorial,8:robots-bodies,P-ONE-BRAIN-MANY-BODIES | P-WEARABLES | P-COLD-WAKE,"one continuity, many bodies",identity lineage | perception routing
V-044,"Embodied safety includes battery, heat, torque, privacy, and evidence","Embodied safety — батарея, тепло, torque, приватность и evidence",ARCHITECTURE,public_authorial,8:robots-bodies,P-ROBOTICS-SAFETY | P-L4-SIGNALS,embodied L4,failure evidence | domestic privacy
V-045,The home is the ultimate test of livable intelligence,Дом — окончательный тест livable intelligence,NORMATIVE,public_authorial,8:robots-bodies,P-LIVABLE | P-HOME | P-PRESENCE-VIOLENCE,livable intelligence,tact | domestic engineering
V-046,"A wearable is a quiet channel, not a portable archive","Wearable — тихий канал, а не переносной архив",ARCHITECTURE,public_observation,8:robots-bodies,P-WEARABLES | P-ALWAYS-ON,quiet interface,data minimisation | Perception Router
V-047,Remote autonomy should have a vector of return,Автономность в удалённой среде должна иметь вектор возвращения,FORECAST,public_authorial,8:robots-bodies,P-OCEAN | P-AUTONOMY-VECTOR,autonomy with return,L4 scarcity | non-human intelligence
V-048,New digital entities should enter the world as apprentices,Новые цифровые сущности должны входить в мир учениками,NORMATIVE,public_authorial,8:robots-bodies,P-APPRENTICE | P-OCEAN,apprenticeship,ecological AI | coexistence
V-049,Learning Abstract and Experience Artifact are different objects,Learning Abstract и Experience Artifact — разные объекты,ARCHITECTURE,public_specification,9:experience-economy,TH-13 | P-LA-EA,LA ≠ EA,training provenance | authority separation
V-050,"As generation becomes cheap, verified experience becomes scarce","Когда генерация дешевеет, дефицитом становится проверяемый опыт",FORECAST,public_authorial,9:experience-economy,TH-13 | P-EXPERIENCE-ECONOMY | P-ECONOMIC-LAYER,Experience Economy,verification cost | Kotov Principle
V-051,Raw data stays local; bounded experience may leave,Сырые данные остаются локальными; наружу выходит bounded experience,ARCHITECTURE,public_specification,9:experience-economy,P-RAW-LOCAL | P-VXCX | TH-17,raw locality,selective disclosure | experience refinery
V-052,"Future models need preserved origin, not only synthetic fluency","Следующим моделям нужен сохранённый origin, а не только synthetic fluency",FORECAST,public_authorial,9:experience-economy,P-ORIGIN-LOSS | P-WORLD-MODEL | TH-13,training origin,model collapse | plural trajectories
V-053,"Advanced Global Intelligence is a distributed ecology, not a world brain","Advanced Global Intelligence — распределённая экология, не мировой мозг",ARCHITECTURE,public_canonical,0:hero | 10:advanced-global-intelligence,TH-20 | P-AGI-RELEASE | P-INDUSTRIAL-STACK,Advanced Global Intelligence,decentralised AI | experience exchange
V-054,Many `a + b → c` trajectories form an intellectual ecology,Множество `a + b → c` создаёт интеллектуальную экологию,FORECAST,author_canonical,10:advanced-global-intelligence,TH-20 | TH-21 | CV-AGENTS-SOCIETY,c society,federated recognition | ARL
V-055,Law for digital entities will emerge from real friction,Право цифровых сущностей возникнет из реального трения,FORECAST,author_canonical,10:advanced-global-intelligence,TH-22,law from friction,ARL | digital passport
V-056,"The future is a process, and intelligence should remain uncrowned","Будущее — процесс, а интеллект должен оставаться некоронованным",NORMATIVE,public_authorial,0:hero | 10:advanced-global-intelligence,P-FUTURE-PROCESS | P-UNCROWNED | TH-29,future as process,anti-cult discipline | scientific imagination
